,0
229,Eskifjordhur_Iceland
230,Esmeraldas_Ecuador
231,Esperance_Australia
232,Europa Point_Gibraltar
233,Everett_U.S.A.
234,Falkenberg_Sweden
235,Falmouth Harbour_United Kingdom
236,Famagusta_Turkey
237,Fang-Cheng_China
238,Faradofay_Madagascar
239,Felixstow_United Kingdom
240,Figueira Da Foz_Portugal
241,Flekkefjorden_Norway
242,Floro_Norway
243,Fort De France_Martinique
244,Fos_France
245,Foynes_Ireland
246,Fredericia_Denmark
247,Fredrikstad_Norway
248,Freeport_Bahamas
249,Freeport_U.S.A.
250,Freetown_Sierra Leone
251,Fremantle_Australia
252,Fujayrah Harbor_United Arab Emirates
253,Fukui Ko_Japan
254,Fukuyama_Japan
255,Funabashi_Japan
256,Funafuti Atoll_Tuvalu
257,Funchal_Portugal
258,Fushiki-Toyama_Japan
259,Fuzhou_China
260,Gabes_Tunisia
261,Galveston_U.S.A.
262,Gaogang_China
263,Garlston_United Kingdom
264,Gavle_Sweden
265,Gdansk_Poland
266,Gdynia_Poland
267,Gebig_Brazil
268,Geelong_Australia
269,Gemlik_Turkey
270,General Santos_Philippines
271,Genova_Italy
272,Georgetown_Cayman Islands
273,Georgetown_Guyana
274,Geraldton_Australia
275,Ghazaquet_Algeria
276,Ghent_Belgium
277,Gijon_Spain
278,Gioia Tauro_Italy
279,Gladstone_Australia
280,Golcuk Burnu_Turkey
281,Golfito_Costa Rica
282,Gorontalo_Indonesia
283,Goteborg_Sweden
284,Gourd Shanzui_China
285,Grand Haven_U.S.A.
286,Grangemouth_United Kingdom
287,Gravesend_United Kingdom
288,Green Bay_U.S.A.
289,Grenaa Havn_Denmark
290,Gresik_Indonesia
291,Guaiba Island Terminal_Brazil
292,Guangdong Yangjiang Port_China
293,Guangxi Beibu Gulf Port_China
294,Guangzhou_China
295,Guayaquil_Ecuador
296,Guaymas_Mexico
297,Gulfport_U.S.A.
298,Gwadar_Pakistan
299,Gwangyang Hang_South Korea
300,Hachinohe Ko_Japan
301,Hai Phong_Vietnam
302,Haifa_Israel
303,Haikou_China
304,Haimen_China
305,Hakata_Japan
306,Hakodate Ko_Japan
307,Haldia Port_India
308,Halifax_Canada
309,Halmstad_Sweden
310,Hamada Ko_Japan
311,Hamburg_Germany
312,Hamilton_Canada
313,Hamina_Finland
314,Hammerfest_Norway
315,Hankow_China
316,Harbor Yeweiju_China
