id,port,country
1007,Porto Grande,Cape Verde
1008,Porto Pecem,Brazil
1009,Porto Torres,Italy
1010,Portocel,Brazil
1011,Portovecchio Di Piombino,Italy
1012,Portsmouth Harbour,United Kingdom
1013,Porvoo,Finland
1014,Poti,Georgia
1015,Pozzuoli,Italy
1016,Praia De Vitoria,Portugal
1017,Presque Isle,U.S.A.
1018,Primorsk,Russia
1019,Prince Rupert,U.S.A.
1020,Probolinggo,Indonesia
1021,Progreso,Mexico
1022,Providence,U.S.A.
1023,Providenciales,Turks and Caicos Islands
1024,Puerto Bayovar,Peru
1025,Puerto Bolivar,Colombia
1026,Puerto Bolivar,Ecuador
1027,Puerto Cabello,Venezuela
1028,Puerto Cabezas,Nicaragua
1029,Puerto Caldera,Chile
1030,Puerto Caldera,Costa Rica
1031,Puerto Castilla,Honduras
1032,Puerto Chanaral,Chile
1033,Puerto Colon,Panama
1034,Puerto Cortes,Honduras
1035,Puerto Cristobal,Panama
1036,Puerto De Bilbao,Spain
1037,Puerto De Carboneras,Spain
1038,Puerto De Chimbote,Peru
1039,Puerto De Garrucha,Spain
1040,Puerto De Haina,Dominican Republic
1041,Puerto De Hencan,Honduras
1042,Puerto De Pasajes,Spain
1043,Puerto Del Callao,Peru
1044,Puerto Del Rosario,Spain
1045,Puerto Ilo,Peru
1046,Puerto Ingeniero White,Argentina
1047,Puerto La Cruz,Venezuela
1048,Puerto Madryn,Argentina
1049,Puerto Miranda,Venezuela
1050,Puerto Moin,Costa Rica
1051,Puerto Montt,Chile
1052,Puerto Nuevo,Colombia
1053,Puerto Plata,Dominican Republic
1054,Puerto Princesa,Philippines
1055,Puerto Quetzal,Guatemala
1056,Puerto San Antonio,Chile
1057,Puerto San Martin,Argentina
1058,Puerto Yabucoa,Puerto Rico
1059,Pulau Baai,Indonesia
1060,Pulau Pinang,Malaysia
1061,Punta Cardon,Venezuela
1062,Punta Lobitos (Bahia De Huarmey),Peru
1063,Pusan,South Korea
1064,Put Put,Papua New Guinea
1065,Pyeongtaek Hang,South Korea
1066,Qalhat LNG Terminal,Oman
1067,Qingdao Gang,China
1068,Qingdao Port,China
1069,Qingzhou,China
1070,Qinhuangdao,China
1071,Qiwei,China
1072,Quanzhou,China
1073,Quebec,Canada
1075,Quequen,Argentina
1076,Qui Nhon,Vietnam
1077,Raahe,Finland
1078,Rabaul,Papua New Guinea
1079,Rabigh,Saudi Arabia
1080,Rada De Arica,Chile
1081,Rada Di vado,Italy
1082,Rade De Brest,France
1083,Randers,Denmark
1084,Rangoon,Myanmar
1086,Ras Al Mishab,Saudi Arabia
1087,Ras Al-Khair,Saudi Arabia
1088,Ras Laffan,Qatar
1089,Ras Tannurah,Saudi Arabia
1090,Rauma,Finland
1091,Rayong TPI Terminal,Thailand
1092,Recife,Brazil
1093,Reka Luga,Russia
1094,Rethimnon,Greece
1096,Reykjavik,Iceland
1097,Richards Bay,South Africa
1098,Riga,Latvia
1099,Rijeka Luka,Croatia
1100,Rio Bueno,Jamaica
1101,Rio De Janeiro,Brazil
1102,Rio Grande,Brazil
1103,Rizhao,China
1104,Road Harbor,British Virgin Islands
1105,Rorvik,Norway
1106,Rosario,Argentina
1107,Rosarito,Mexico
1108,Roseau,Dominica
1109,Rostock,Germany
1110,Rostov-Na-Donu,Russia
1111,Rota,Northern Mariana Islands
1112,Rotterdam,Netherlands
1113,Rouge River,U.S.A.
1114,Rumor Ko,Japan
1115,Ruwais Port,Qatar
1116,Safi,Morocco
1117,Saganoseki Ko,Japan
1118,Sagunto,Spain
1119,Saint Helier Harbour,Jersey
1120,Saint Peter Port,Guernsey
1121,Saint-Malo,France
1122,Saint-Marc,Haiti
1123,Saipan,Northern Mariana Islands
1124,Sakai Ko,Japan
1125,Sakai-Senboku,Japan
1126,Sakaide Ko,Japan
1127,Sakata Ko,Japan
1128,Sal Rei,Cape Verde
1129,Salaverry,Peru
1130,Saldanha Bay,South Africa
1132,Salerno,Italy
1133,Salina Cruz,Mexico
1134,Samarinda,Indonesia
1135,Sampit,Indonesia
1136,Samsun,Turkey
1137,San Diego,U.S.A.
1138,San Fransisco,U.S.A.
1139,San Giogrio,Italy
1140,San Juan,Puerto Rico
1141,San Miguel De Cozumel,Mexico
1142,San Nicolas,Argentina
1143,San Pedro,Cote d'Ivoire
1144,San Pedro De Macoris,Dominican Republic
1145,Sandnessjoen,Norway
1146,Sandusky,U.S.A.
1147,Sankt-Peterburg,Russia
1148,Sanshandaocun,China
1149,Santa Cruz De La Palma,Spain
1150,Santa Cruz De Tenerife,Spain
1151,Santa Maria,Colombia
1152,Santander,Spain
1153,Santiago De Cuba,Cuba
1154,Santo Domingo,Dominican Republic
1155,Santo Thomas De Castilla,Guatemala
1156,Santos,Brazil
1157,Sao Francisco,Brazil
1158,Sao Sebastiao,Brazil
1159,Sapangar Bay,Malaysia
1160,Sapele,Nigeria
1161,Sarnia,Canada
1162,Sarroch Oil Terminal,Italy
1163,Sassnitz,Germany
1164,Sauda,Norway
1165,Savannah,U.S.A.
1166,Savonia,Italy
1167,Sawakin Harbor,Sudan
1168,Sayda,Lebanon
1169,Searsport,U.S.A.
1170,Seattle,U.S.A.
1171,Seghe,Solomon Islands
1172,Sekondi,Ghana
1173,Sekupang,Indonesia
1174,Semarang,Indonesia
1175,Sendai-Shiogama,Japan
1176,Sept Iles,Canada
1177,Serangoon Harbor,Singapore
1178,Sete,France
1179,Setubal,Portugal
1180,Sevilla,Spain
1182,Shan T Ou,China
1183,Shanghai,China
1184,Shekou,China
1185,Shibushi Wan,Japan
1186,Shidao Newport,China
1187,Shijing Longxiang,China
1188,Shimizu Ko,Japan
1189,Shoreham Harbour,United Kingdom
1190,Shougang Jingtang,China
1191,Shui Dong,China
1192,Si Racha,Thailand
1193,Sibolga,Indonesia
1194,Sikka,India
1195,Sines,Portugal
1196,Singapore,Singapore
1197,Sint Nicolaas Baai,Aruba
1198,Sitrah,Bahrain
1199,Skagen Havn,Denmark
1200,Skelleftehamn,Sweden
1201,Skhira,Tunisia
1202,Skutskar,Sweden
1203,Slagenstangen,Norway
1204,Sodertalje,Sweden
1205,Solvesborg,Sweden
1206,Songkhla Harbor,Thailand
1207,Soudha,Greece
1208,Sousse,Tunisia
1209,South Louisiana,U.S.A.
1211,Southampton,United Kingdom
1212,Soyo Angola LNG Terminal,Angola
1213,Split,Croatia
1214,St John,Canada
1215,St John's,Canada
1216,St Johns,Antigua and Barbuda
1217,St Nazaire,France
1218,St. George's,Grenada
1219,Stagen,Indonesia
1220,Stavanger,Norway
1221,Steinkjer,Norway
1222,Stenungsund,Sweden
1223,Stockholm,Sweden
1224,Stockton,U.S.A.
1225,Stora Jatterson,Sweden
1226,Stura,Norway
1227,Subio Bay,Philippines
1228,Sundaomen Wuz,China
1229,Sunderland,United Kingdom
1230,Sundsvall,Sweden
1231,Superior,U.S.A.
1232,Surabaya,Indonesia
1233,Surigao City,Philippines
1234,Susaki Ko,Japan
1235,Suva Harbor,Fiji
1236,Swanport,U.S.A.
1237,Swinoujscie,Poland
1238,Sydney,Australia
1239,Sydney,Canada
1240,Sydney,U.S.A.
1241,Szczecin,Poland
1242,Tachibana,Japan
1243,Tacoma,U.S.A.
1244,Taganrog,Russia
1245,Tagonoura Ko,Japan
1246,Tahaa,French Polynesia
1247,Tai-Chung Kang,Taiwan
1248,Taicang,China
1249,Takamatsu,Japan
1250,Takoradi,Ghana
1251,Takuma,Japan
1252,Talara,Peru
1253,Talinn,Estonia
1254,Tampa,U.S.A.
1255,Tampico,Mexico
1256,Tan-Shui,Taiwan
1257,Tanah Merah,Indonesia
1258,Tananger,Norway
1260,Tangier-Mediterranean,Morocco
1261,Tangshan (Jingtang),China
1262,Tanjung Benete,Indonesia
1263,Tanjung Geren,Indonesia
1264,Tanjung Pelepas,Malaysia
1265,Tanjung Sangata,Indonesia
1266,Tanjung Sekong,Indonesia
1267,Tanjungredeb,Indonesia
1268,Tanjunguban,Indonesia
1269,Tarabulus,Lebanon
1270,Taranto,Italy
1271,Tarawa Atoll,Kiribati
1272,Tarragona,Spain
1273,Tauranga,New Zealand
1274,Teesport,United Kingdom
1275,Tekirdag,Turkey
1276,Teluk Bayur,Indonesia
1277,Tema,Ghana
1278,Temryuk,Russia
1279,Terneuzen,Netherlands
1280,Texas City,U.S.A.
1281,Tg Mani,Malaysia
1282,Tg. Sorong,Indonesia
1283,Tha Thong,Thailand
1284,Thamesport,United Kingdom
1285,Thamshamm,Norway
1286,Thanh Ho Chi Minh,Vietnam
1288,Thessaloniki,Greece
1289,Thevenard,Australia
1290,Thunder Bay,Canada
1291,Thyboron,Denmark
1292,Tianjin Xin Gang,China
1293,Tilbury,United Kingdom
1294,Timaru,New Zealand
1295,Tinian,Northern Mariana Islands
1296,Toamasina,Madagascar
1297,Tocopilla,Chile
1298,Tokachi,Japan
1299,Tokuyama,Japan
1300,Tokyo Ko,Japan
1301,Toledo,U.S.A.
1302,Toliara,Madagascar
1303,Tomakomai Ko,Japan
1304,Tonghae,South Korea
1305,Topolorampo,Mexico
1306,Torina,Finland
1307,Toronto,Canada
1308,Toros Gubre,Turkey
1309,Torrevieja,Spain
1310,Townsville,Australia
1311,Trabzon,Turkey
1312,Trelleborg,Sweden
1313,Trieste,Italy
1314,Trincomalee Harbor,Sri Lanka
1315,Trois Rivieres,Canada
1316,Tromso,Norway
1317,Trondheim,Norway
1318,Tsingeli,Greece
1319,Tsukumi Ko,Japan
1320,Tsuruga Ko,Japan
1321,Tuapse,Russia
1322,Tuban,Indonesia
1323,Tubarao,Brazil
1324,Tunis,Tunisia
1325,Turkmenbashi Port,Turkmenistan
1326,Tuticorin,India
1327,Tuxpan,Mexico
1328,Two Harbors,U.S.A.
1329,Tynemouth,United Kingdom
1330,Ube Ko,Japan
1331,Ujung Pandang,Indonesia
1332,Uleelheue,Indonesia
1333,Ulsan,South Korea
1334,Umea Hamn,Sweden
1335,Umm Al Qaywayn,United Arab Emirates
1336,Umm Qasr,Iraq
1337,Umm Said,Qatar
1338,Uno Ko,Japan
1339,Uturoa,French Polynesia
1340,Uwajima Ko,Japan
1341,Vaasa,Finland
1342,Vaitape,French Polynesia
1343,Valencia,Spain
1344,Valletta Harbors,Malta
1345,Vancouver,Canada
1346,Vancouver,U.S.A.
1347,Vanimo,Papua New Guinea
1348,Varberg,Sweden
1349,Varkaus,Finland
1350,Varna,Bulgaria
1351,Vasteras,Sweden
1352,Ventspils,Latvia
1353,Veracruz,Mexico
1355,Victoria,Malaysia
1356,Victoria,Seychelles
1357,Vieux Fort,Saint Lucia
1358,Vigo,Spain
1359,Vikanes,Norway
1360,Villagarcia De Arosa,Spain
1361,Villanueva,Philippines
1362,Vishakhapatnam,India
1363,Vitoria,Brazil
1364,Vladivostok,Russia
1365,Vlissingen,Netherlands
1366,Vlores,Albania
1367,Voh,New Caledonia
1368,Volos,Greece
1369,Vostochnyy,Russia
1370,Vung Tau,Vietnam
1371,Vyborg,Russia
1372,Waingapu,Indonesia
1373,Wakamatsu Ko,Japan
1374,Wakayama-Shimotsu Ko,Japan
1375,Wallaroo,Australia
1376,Walvis Bay,Namibia
1377,Warren Point,Ireland
1378,Warri,Nigeria
1379,Waterford,Ireland
1380,Weifang Port,China
1381,Weihai,China
1382,Weipa,Australia
1383,Wellington,New Zealand
1385,Wenzhou,China
1386,Western Port,Australia
1387,Wewak Harbor,Papua New Guinea
1388,Whangerei,New Zealand
1390,Whyalla,Australia
1391,Wilhelmshaven,Germany
1392,Willemstad,Curacao
1393,"Wilmington, DE",U.S.A.
1394,"Wilmington, NC",U.S.A.
1395,Wisbech,United Kingdom
1396,Wismar,Germany
1397,Workington,United Kingdom
1398,Xiagong,China
1399,Xiamen,China
1400,Xiuyu,China
1401,Yakacik,Turkey
1402,Yalova,Turkey
1403,Yanbu,Saudi Arabia
1404,Yangpu,China
1405,Yantai,China
1406,Yatsushiro Ko,Japan
1407,Yawatahama,Japan
1408,Yeysk,Russia
1409,Yiantian,China
1410,Yingkou,China
1411,Yokkaichi,Japan
1412,Yokohama Ko,Japan
1413,Yokosuka Ko,Japan
1414,Yuzhnyy,Ukraine
1415,Zamboanga,Philippines
1416,Zanzibar,Tanzania
1417,Zarate,Argentina
1418,Zarzis,Tunisia
1419,Zeebrugge,Belgium
1420,Zhangjiangang,China
1421,Zhanjiang,China
1422,Zhapu,China
1423,Zhouliwang,China
1424,Zhoushan,China
1425,Zonguldak,Turkey
1426,palma De Mallorca,Spain
1427,rada Punta Arenas,Chile
