id,port,country
229,Chaozhou,China
230,Charco Azul,Panama
231,Charleston,U.S.A.
232,Charlestown,Saint Kitts and Nevis
233,Charlotte Amalie,U.S. Virgin Islands
234,Chatnam Docks,United Kingdom
235,Chennai (Madras),India
236,Cherry Point,Canada
237,Chester,U.S.A.
238,Chi-Lung,Taiwan
239,Chiba Ko,Japan
240,Chiriqui Grande,Panama
241,Chittagong,Bangladesh
242,Chiwan,China
243,Christiansted,U.S. Virgin Islands
244,Cienfuegos,Cuba
245,Cilacap,Indonesia
246,Cirebon,Indonesia
247,Civitavecchia,Italy
248,Clarkson,Canada
249,Cleveland,U.S.A.
251,Clifton Pier,Bahamas
252,Coatzacoalcos,Mexico
253,Coles Bay Oil Terminal,Sint Maarten
254,Colombo,Sri Lanka
255,Colonia,Micronesia
256,Come By Chance Harbor,Canada
257,Comodoro Rivadavia,Argentina
258,Conakry,Guinea
259,Conchan Oil Terminal,Peru
260,Constanta,Romania
261,Corinto,Nicaragua
262,Cork,Ireland
263,Coronei,Chile
264,Corpus Christi,U.S.A.
265,Cotonou,Benin
266,Covenas Offshore Term.,Colombia
267,Cueta,Spain
268,Cuxhaven,Germany
269,Da Nang,Vietnam
270,Daesan Hang,South Korea
271,Dahej,India
272,Dakar,Senegal
273,Dalian,China
274,Damietta,Egypt
275,Damman,Saudi Arabia
276,Dampier,Australia
277,Dandong,China
278,Dar Es Salaam,Tanzania
279,Daru,Papua New Guinea
280,Darwin,Australia
281,Davao,Philippines
282,Davisville Depot,U.S.A.
283,De Kastri,Russia
284,Degrad Des Cannes,French Guiana
285,Delfzijl,Netherlands
286,Delta Terminal,Turkey
287,Derince Burnu,Turkey
288,Devonport,Australia
289,Dhaka,Bangladesh
290,Dhamara Port,India
291,Dhekelia,Cyprus
292,Dili,Timor-Leste
293,Djen-Djen,Algeria
294,Djibouti,Djibouti
295,Djupivogur,Iceland
296,Djupviken,Norway
297,Donggala,Indonesia
298,Dos Bocas Terminal,Mexico
299,Douala,Cameroon
301,Dover Harbor,United Kingdom
302,Drammen,Norway
303,Drogheda,Ireland
304,Duba,Saudi Arabia
305,Duba Bulk Plant Tanker Terminal,Saudi Arabia
306,Dubayy,United Arab Emirates
307,Dublin,Ireland
308,Dudinka,Russia
309,Dumai,Indonesia
310,Dunkerque Port Ouest,France
311,Durban,South Africa
312,Durres,Albania
313,Dzaoudzi,Mayotte
314,EL Segundo,U.S.A.
315,East London,South Africa
316,Eemshaven,Netherlands
317,El Grao,Spain
318,El Guamache,Venezuela
319,El Jorf Lasfar,Morocco
320,El Palito,Venezuela
321,El-Adabiya,Egypt
322,Elevsis,Greece
323,Emden,Germany
324,Empire,U.S.A.
325,Ende,Indonesia
326,Ensenada,Mexico
327,Eregli,Turkey
328,Esbjerg,Denmark
329,Eskifjordhur,Iceland
330,Esmeraldas,Ecuador
331,Esperance,Australia
332,Europa Point,Gibraltar
333,Everett,U.S.A.
334,Ez Zueitina,Libya
335,Falkenberg,Sweden
336,Falmouth,Jamaica
337,Falmouth Harbour,United Kingdom
338,Famagusta,Turkey
339,Fang-Cheng,China
340,Faradofay,Madagascar
341,Fare,French Polynesia
342,Fawley Marine Terminal,United Kingdom
343,Felixstow,United Kingdom
344,Ferrol,Spain
345,Figueira Da Foz,Portugal
346,Finnart Oil Terminal,United Kingdom
347,Finnsnes,Norway
348,Flekkefjorden,Norway
349,Floro,Norway
350,Fort De France,Martinique
351,Fos,France
352,Founchon,U.S.A.
353,Foynes,Ireland
354,Fredericia,Denmark
355,Frederikshavn,Denmark
356,Fredrikstad,Norway
357,Freeport,Bahamas
358,Freeport,U.S.A.
359,Freeriksvaerk,Denmark
360,Freetown,Sierra Leone
361,Fremantle,Australia
362,Fujayrah Harbor,United Arab Emirates
363,Fukui Ko,Japan
364,Fukuyama,Japan
365,Funabashi,Japan
366,Funafuti Atoll,Tuvalu
367,Funchal,Portugal
368,Furku,Finland
369,Fushiki-Toyama,Japan
370,Fuzhou,China
371,Gabes,Tunisia
372,Galeota Point Terminal,Trinidad and Tobago
373,Galveston,U.S.A.
374,Galway,Ireland
375,Gaogang,China
376,Garlston,United Kingdom
377,Gary,U.S.A.
378,Gavan Vysotsk,Russia
379,Gavle,Sweden
380,Gdansk,Poland
381,Gdynia,Poland
382,Gebig,Brazil
383,Geelong,Australia
384,Gela,Italy
