,community,degree
0,3,475.0
1,1,873.0
2,2,221.0
3,3,2.0
4,1,130.0
5,3,317.0
6,3,52.0
7,1,128.0
8,1,122.0
9,3,24.0
10,1,21.0
11,1,142.0
12,1,7.0
13,3,992.0
14,1,333.0
15,1,256.0
16,3,159.0
17,1,10.0
18,3,229.0
19,3,2511.0
20,3,324.0
21,3,248.0
22,3,93.0
23,1,24.0
24,3,597.0
25,3,35.0
26,1,57.0
27,1,103.0
28,1,5.0
29,3,94.0
30,1,99.0
31,3,265.0
32,3,1034.0
33,3,107.0
34,3,140.0
35,1,33.0
36,2,116.0
37,3,4281.0
38,1,92.0
39,1,211.0
40,3,53.0
41,3,567.0
42,3,225.0
43,3,78.0
44,1,4.0
45,1,250.0
46,3,1102.0
47,3,2.0
48,1,828.0
49,3,3.0
50,3,13.0
51,3,5.0
52,3,95.0
53,3,2.0
54,2,45.0
55,2,252.0
56,2,221.0
57,2,1583.0
58,1,137.0
59,3,418.0
60,3,189.0
61,1,46.0
62,1,119.0
63,1,25.0
64,3,29.0
65,3,122.0
66,1,1723.0
67,1,123.0
68,3,132.0
69,1,4.0
70,3,120.0
71,3,63.0
72,3,2255.0
73,3,38.0
74,3,382.0
75,3,28.0
76,1,6.0
77,3,58.0
78,1,176.0
79,3,2.0
80,3,99.0
81,1,37.0
82,3,2.0
83,3,900.0
84,1,1601.0
85,3,2.0
86,1,34.0
87,1,237.0
88,3,69.0
89,1,103.0
90,3,225.0
91,3,270.0
92,3,67.0
93,1,93.0
94,3,204.0
95,3,37.0
96,1,104.0
97,3,62.0
98,1,156.0
99,1,51.0
100,1,344.0
101,1,29.0
102,3,51.0
103,3,184.0
104,1,1116.0
105,3,8.0
106,3,5.0
107,3,2.0
108,3,7.0
109,3,2445.0
110,3,113.0
111,3,205.0
112,1,1345.0
113,1,4.0
114,1,3.0
115,3,29.0
116,3,3.0
117,1,224.0
118,2,620.0
119,3,699.0
120,1,36.0
121,1,2.0
122,1,31.0
123,1,2.0
124,3,560.0
125,3,210.0
126,1,27.0
127,3,74.0
128,1,40.0
129,3,151.0
130,1,254.0
131,2,2.0
132,3,6.0
133,3,4.0
134,3,750.0
135,3,2.0
136,3,2429.0
137,3,180.0
138,3,1227.0
139,3,81.0
140,3,7.0
141,3,21.0
142,1,499.0
143,3,5.0
144,1,8.0
145,1,70.0
146,1,95.0
147,1,4.0
148,3,1516.0
149,3,154.0
150,1,393.0
151,3,116.0
152,1,2582.0
153,1,192.0
154,1,1021.0
155,1,31.0
156,3,4.0
157,0,13.0
158,3,204.0
159,3,48.0
160,1,3392.0
161,1,10.0
162,3,198.0
163,3,484.0
164,2,175.0
165,3,521.0
166,2,186.0
167,3,4.0
168,3,539.0
169,3,31.0
170,3,42.0
171,1,868.0
172,1,187.0
173,1,6.0
174,3,523.0
175,1,2211.0
176,3,644.0
177,1,509.0
178,1,102.0
179,1,387.0
180,1,49.0
181,1,674.0
182,1,2.0
183,3,146.0
184,3,8.0
185,3,916.0
186,1,17.0
187,3,2.0
188,1,25.0
189,3,34.0
190,1,465.0
191,1,61.0
192,3,312.0
193,3,97.0
194,1,46.0
195,3,1033.0
196,1,1.0
197,3,504.0
198,3,834.0
199,3,35.0
200,3,43.0
201,3,12.0
202,3,167.0
203,3,4.0
204,1,39.0
205,3,5.0
206,3,9.0
207,1,3.0
208,2,254.0
209,3,20.0
210,3,14.0
211,3,64.0
212,2,72.0
213,1,20.0
214,3,27.0
215,1,22.0
216,3,2.0
217,3,3.0
218,1,60.0
219,1,2.0
220,3,1164.0
221,3,4.0
222,3,76.0
223,3,46.0
224,3,154.0
225,3,6.0
226,3,10.0
227,3,194.0
228,3,4.0
229,3,168.0
230,3,1032.0
231,3,116.0
232,3,159.0
233,1,575.0
234,1,30.0
235,1,163.0
236,1,52.0
237,3,80.0
238,1,244.0
239,1,1064.0
240,3,13.0
241,3,2.0
242,1,180.0
243,3,13.0
244,3,176.0
245,3,530.0
246,3,1070.0
247,3,1020.0
248,1,423.0
249,3,1918.0
250,3,17.0
251,3,312.0
252,3,85.0
253,3,136.0
254,3,164.0
255,3,1163.0
256,1,37.0
257,2,2.0
258,3,36.0
259,1,24.0
260,3,504.0
261,1,174.0
262,3,344.0
263,3,289.0
264,1,277.0
265,3,360.0
266,1,112.0
267,1,6.0
268,1,686.0
269,2,1143.0
270,2,34.0
271,3,58.0
272,1,4.0
273,1,559.0
274,1,161.0
275,1,3500.0
276,3,1194.0
277,1,365.0
278,1,19.0
279,1,1359.0
280,1,36.0
281,3,70.0
282,1,75.0
283,3,687.0
284,3,186.0
285,1,34.0
286,3,3860.0
287,3,2.0
288,3,2.0
289,1,588.0
290,1,28.0
291,3,4.0
292,3,121.0
293,3,535.0
294,3,630.0
295,1,2.0
296,1,6.0
297,1,598.0
298,1,99.0
299,1,93.0
300,1,83.0
301,1,10879.0
302,1,139.0
303,1,383.0
304,3,32.0
305,1,10.0
306,3,910.0
307,3,97.0
308,1,38.0
309,3,68.0
310,3,227.0
311,1,136.0
312,3,61.0
313,3,722.0
314,1,897.0
315,1,6.0
316,3,2.0
317,2,253.0
318,3,47.0
319,1,103.0
320,3,546.0
321,3,2354.0
322,3,1050.0
323,3,11.0
324,1,249.0
325,3,19.0
326,3,692.0
327,1,154.0
328,3,393.0
329,1,2528.0
330,3,2.0
331,1,87.0
332,1,791.0
333,1,1645.0
334,1,509.0
335,1,707.0
336,3,555.0
337,1,88.0
338,3,89.0
339,3,41.0
340,1,31.0
341,1,78.0
342,1,597.0
343,1,191.0
344,1,2.0
345,1,297.0
346,1,7756.0
347,3,10.0
348,1,416.0
349,3,4.0
350,1,61.0
351,3,2.0
352,1,36.0
353,3,2.0
354,1,181.0
355,1,2.0
356,3,142.0
357,1,58.0
358,1,18.0
359,3,117.0
360,1,16.0
361,3,9.0
362,1,32.0
363,1,8.0
364,1,67.0
365,3,4.0
366,3,1110.0
367,3,418.0
368,3,102.0
369,1,4.0
370,1,4.0
371,3,832.0
372,1,4053.0
373,3,251.0
374,1,345.0
375,1,26.0
376,3,63.0
377,3,2.0
378,1,161.0
379,3,494.0
380,1,97.0
381,1,4.0
382,1,7.0
383,3,487.0
384,3,18.0
385,1,252.0
386,3,250.0
387,3,24.0
388,1,175.0
389,1,122.0
390,1,1.0
391,1,2.0
392,1,49.0
393,1,5.0
394,1,108.0
395,1,43.0
396,3,4.0
397,3,192.0
398,3,54.0
399,3,34.0
400,3,1156.0
401,1,256.0
402,3,410.0
403,1,2.0
404,3,63.0
405,1,135.0
406,3,3.0
407,3,158.0
408,3,1195.0
409,1,197.0
410,2,903.0
411,1,34.0
412,1,1548.0
413,3,4.0
414,3,912.0
415,3,168.0
416,1,32.0
417,2,117.0
418,3,844.0
419,3,927.0
420,3,1080.0
421,3,116.0
422,3,875.0
423,3,1399.0
424,2,2.0
425,1,66.0
426,1,7.0
427,3,2.0
428,1,2024.0
429,3,362.0
430,3,123.0
431,3,41.0
432,1,62.0
433,1,6.0
434,1,25.0
435,1,26.0
436,1,210.0
437,1,7.0
438,1,2.0
439,1,59.0
440,1,86.0
441,3,42.0
442,3,152.0
443,1,53.0
444,1,56.0
445,3,51.0
446,3,67.0
447,3,313.0
448,1,1872.0
449,1,68.0
450,2,40.0
451,2,1719.0
452,3,1963.0
453,1,2.0
454,1,220.0
455,3,27.0
456,3,135.0
457,3,29.0
458,3,20.0
459,3,7.0
460,1,28.0
461,3,1306.0
462,3,180.0
463,1,8.0
464,3,87.0
465,1,122.0
466,1,3.0
467,2,134.0
468,3,40.0
469,2,125.0
470,1,1115.0
471,1,22.0
472,1,21.0
473,3,84.0
474,3,5.0
475,3,1351.0
476,3,1108.0
477,3,4.0
478,1,104.0
479,1,305.0
480,1,2762.0
481,1,1097.0
482,1,92.0
483,3,78.0
484,1,261.0
485,3,174.0
486,1,39.0
487,1,501.0
488,3,2.0
489,3,152.0
490,1,22.0
491,1,524.0
492,3,11.0
493,1,38.0
494,3,100.0
495,3,6.0
496,3,390.0
497,3,262.0
498,3,526.0
499,3,4.0
500,1,6.0
501,3,93.0
502,3,30.0
503,3,4.0
504,1,43.0
505,1,58.0
506,1,181.0
507,1,1336.0
508,1,691.0
509,1,99.0
510,1,2.0
511,1,35.0
512,3,134.0
513,3,14.0
514,1,96.0
515,1,50.0
516,1,3960.0
517,1,8.0
518,3,68.0
519,1,445.0
520,1,46.0
521,1,327.0
522,3,625.0
523,3,4.0
524,3,50.0
525,3,77.0
526,1,182.0
527,3,901.0
528,3,2.0
529,1,144.0
530,3,467.0
531,1,4.0
532,1,196.0
533,3,2102.0
534,1,36.0
535,3,13.0
536,1,564.0
537,1,10089.0
538,3,1178.0
539,3,148.0
540,1,192.0
541,1,2.0
542,3,102.0
543,3,160.0
544,1,280.0
545,3,453.0
546,3,2.0
547,1,103.0
548,1,1279.0
549,3,2.0
550,3,10.0
551,3,415.0
552,1,9.0
553,1,119.0
554,1,136.0
555,3,110.0
556,1,13.0
557,3,159.0
558,1,27.0
559,3,4.0
560,1,3853.0
561,3,555.0
562,1,196.0
563,1,68.0
564,3,112.0
565,3,25.0
566,3,206.0
567,1,90.0
568,2,355.0
569,3,2.0
570,1,138.0
571,3,95.0
572,3,40.0
573,1,208.0
574,1,160.0
575,1,2.0
576,3,209.0
577,3,411.0
578,1,2.0
579,3,2.0
580,3,2.0
581,1,3.0
582,1,53.0
583,1,4.0
584,1,14.0
585,1,35.0
586,3,8.0
587,1,106.0
588,3,552.0
589,3,373.0
590,1,1431.0
591,2,4.0
592,1,225.0
593,3,3181.0
594,3,56.0
595,3,97.0
596,1,6.0
597,3,435.0
598,3,582.0
599,3,289.0
600,3,199.0
601,1,32.0
602,1,57.0
603,2,2.0
604,3,2.0
605,1,3.0
606,3,3.0
607,3,3.0
608,3,296.0
609,1,31.0
610,3,4.0
611,3,170.0
612,3,588.0
613,1,2.0
614,3,639.0
615,1,403.0
616,3,1372.0
617,3,28.0
618,3,25.0
619,1,4.0
620,2,118.0
621,3,11.0
622,1,23.0
623,1,6661.0
624,3,2.0
625,1,467.0
626,1,520.0
627,3,75.0
628,3,71.0
629,1,278.0
630,3,66.0
631,1,57.0
632,3,184.0
633,3,630.0
634,1,111.0
635,1,89.0
636,1,94.0
637,1,21.0
638,3,1963.0
639,3,23.0
640,1,312.0
641,3,555.0
642,1,14.0
643,1,12.0
