,community,degree
0,2,475.0
1,1,873.0
2,2,221.0
3,2,2.0
4,1,130.0
5,2,317.0
6,2,52.0
7,1,128.0
8,1,122.0
9,2,24.0
10,1,21.0
11,1,142.0
12,1,7.0
13,2,992.0
14,1,333.0
15,1,256.0
16,2,159.0
17,1,10.0
18,2,229.0
19,2,2511.0
20,2,324.0
21,2,248.0
22,2,93.0
23,1,24.0
24,2,597.0
25,2,35.0
26,1,57.0
27,1,103.0
28,1,5.0
29,2,94.0
30,1,99.0
31,2,265.0
32,2,1034.0
33,2,107.0
34,2,140.0
35,2,33.0
36,2,116.0
37,2,4281.0
38,1,92.0
39,1,211.0
40,2,53.0
41,2,567.0
42,2,225.0
43,2,78.0
44,1,4.0
45,1,250.0
46,2,1102.0
47,2,2.0
48,1,828.0
49,2,3.0
50,2,13.0
51,2,5.0
52,2,95.0
53,2,2.0
54,2,45.0
55,2,252.0
56,2,221.0
57,2,1583.0
58,1,137.0
59,2,418.0
60,2,189.0
61,1,46.0
62,1,119.0
63,1,25.0
64,2,29.0
65,2,122.0
66,1,1723.0
67,1,123.0
68,2,132.0
69,1,4.0
70,2,120.0
71,2,63.0
72,2,2255.0
73,2,38.0
74,2,382.0
75,2,28.0
76,1,6.0
77,2,58.0
78,1,176.0
79,2,2.0
80,2,99.0
81,1,37.0
82,2,2.0
83,2,900.0
84,1,1601.0
85,2,2.0
86,1,34.0
87,2,237.0
88,2,69.0
89,1,103.0
90,2,225.0
91,2,270.0
92,2,67.0
93,1,93.0
94,2,204.0
95,2,37.0
96,1,104.0
97,2,62.0
98,1,156.0
99,1,51.0
100,1,344.0
101,1,29.0
102,2,51.0
103,2,184.0
104,1,1116.0
105,2,8.0
106,2,5.0
107,2,2.0
108,2,7.0
109,2,2445.0
110,2,113.0
111,2,205.0
112,1,1345.0
113,1,4.0
114,1,3.0
115,2,29.0
116,2,3.0
117,1,224.0
118,2,620.0
119,2,699.0
120,1,36.0
121,1,2.0
122,1,31.0
123,1,2.0
124,2,560.0
125,2,210.0
126,1,27.0
127,2,74.0
128,1,40.0
129,2,151.0
130,1,254.0
131,2,2.0
132,2,6.0
133,2,4.0
134,2,750.0
135,2,2.0
136,2,2429.0
137,2,180.0
138,2,1227.0
139,2,81.0
140,2,7.0
141,2,21.0
142,1,499.0
143,2,5.0
144,1,8.0
145,1,70.0
146,1,95.0
147,1,4.0
148,2,1516.0
149,2,154.0
150,1,393.0
151,2,116.0
152,1,2582.0
153,1,192.0
154,1,1021.0
155,1,31.0
156,2,4.0
157,0,13.0
158,2,204.0
159,2,48.0
160,1,3392.0
161,1,10.0
162,2,198.0
163,2,484.0
164,2,175.0
165,2,521.0
166,2,186.0
167,2,4.0
168,2,539.0
169,2,31.0
170,2,42.0
171,1,868.0
172,1,187.0
173,1,6.0
174,2,523.0
175,1,2211.0
176,2,644.0
177,1,509.0
178,1,102.0
179,1,387.0
180,1,49.0
181,1,674.0
182,2,2.0
183,2,146.0
184,2,8.0
185,2,916.0
186,1,17.0
187,2,2.0
188,1,25.0
189,2,34.0
190,1,465.0
191,1,61.0
192,2,312.0
193,2,97.0
194,1,46.0
195,2,1033.0
196,1,1.0
197,2,504.0
198,2,834.0
199,2,35.0
200,2,43.0
201,2,12.0
202,2,167.0
203,2,4.0
204,1,39.0
205,2,5.0
206,2,9.0
207,1,3.0
208,2,254.0
209,2,20.0
210,2,14.0
211,2,64.0
212,2,72.0
213,1,20.0
214,2,27.0
215,1,22.0
216,2,2.0
217,2,3.0
218,1,60.0
219,1,2.0
220,2,1164.0
221,2,4.0
222,2,76.0
223,2,46.0
224,2,154.0
225,2,6.0
226,2,10.0
227,2,194.0
228,2,4.0
229,2,168.0
230,2,1032.0
231,2,116.0
232,2,159.0
233,1,575.0
234,1,30.0
235,1,163.0
236,1,52.0
237,2,80.0
238,1,244.0
239,1,1064.0
240,2,13.0
241,2,2.0
242,1,180.0
243,2,13.0
244,2,176.0
245,2,530.0
246,2,1070.0
247,2,1020.0
248,1,423.0
249,2,1918.0
250,2,17.0
251,2,312.0
252,2,85.0
253,2,136.0
254,2,164.0
255,2,1163.0
256,1,37.0
257,2,2.0
258,2,36.0
259,1,24.0
260,2,504.0
261,1,174.0
262,2,344.0
263,2,289.0
264,1,277.0
265,2,360.0
266,1,112.0
267,1,6.0
268,1,686.0
269,2,1143.0
270,2,34.0
271,2,58.0
272,1,4.0
273,1,559.0
274,1,161.0
275,1,3500.0
276,2,1194.0
277,1,365.0
278,1,19.0
279,1,1359.0
280,1,36.0
281,2,70.0
282,1,75.0
283,2,687.0
284,2,186.0
285,1,34.0
286,2,3860.0
287,2,2.0
288,2,2.0
289,1,588.0
290,1,28.0
291,2,4.0
292,2,121.0
293,2,535.0
294,2,630.0
295,1,2.0
296,1,6.0
297,1,598.0
298,1,99.0
299,1,93.0
300,1,83.0
301,1,10879.0
302,1,139.0
303,1,383.0
304,2,32.0
305,1,10.0
306,2,910.0
307,2,97.0
308,1,38.0
309,2,68.0
310,2,227.0
311,1,136.0
312,2,61.0
313,2,722.0
314,1,897.0
315,1,6.0
316,2,2.0
317,2,253.0
318,2,47.0
319,1,103.0
320,2,546.0
321,2,2354.0
322,2,1050.0
323,2,11.0
324,1,249.0
325,2,19.0
326,2,692.0
327,1,154.0
328,2,393.0
329,1,2528.0
330,2,2.0
331,1,87.0
332,1,791.0
333,1,1645.0
334,1,509.0
335,1,707.0
336,2,555.0
337,1,88.0
338,2,89.0
339,2,41.0
340,1,31.0
341,1,78.0
342,1,597.0
343,1,191.0
344,1,2.0
345,1,297.0
346,1,7756.0
347,2,10.0
348,1,416.0
349,2,4.0
350,1,61.0
351,2,2.0
352,1,36.0
353,2,2.0
354,1,181.0
355,1,2.0
356,2,142.0
357,1,58.0
358,1,18.0
359,2,117.0
360,1,16.0
361,2,9.0
362,1,32.0
363,1,8.0
364,1,67.0
365,2,4.0
366,2,1110.0
367,2,418.0
368,2,102.0
369,1,4.0
370,1,4.0
371,2,832.0
372,1,4053.0
373,2,251.0
374,1,345.0
375,1,26.0
376,2,63.0
377,2,2.0
378,1,161.0
379,2,494.0
380,1,97.0
381,1,4.0
382,1,7.0
383,2,487.0
384,2,18.0
385,1,252.0
386,2,250.0
387,2,24.0
388,1,175.0
389,1,122.0
390,1,1.0
391,1,2.0
392,1,49.0
393,1,5.0
394,1,108.0
395,1,43.0
396,2,4.0
397,2,192.0
398,2,54.0
399,2,34.0
400,2,1156.0
401,1,256.0
402,2,410.0
403,1,2.0
404,2,63.0
405,1,135.0
406,2,3.0
407,2,158.0
408,2,1195.0
409,1,197.0
410,2,903.0
411,1,34.0
412,1,1548.0
413,2,4.0
414,2,912.0
415,2,168.0
416,1,32.0
417,2,117.0
418,2,844.0
419,2,927.0
420,2,1080.0
421,2,116.0
422,2,875.0
423,2,1399.0
424,2,2.0
425,1,66.0
426,1,7.0
427,2,2.0
428,1,2024.0
429,2,362.0
430,2,123.0
431,2,41.0
432,1,62.0
433,1,6.0
434,1,25.0
435,1,26.0
436,1,210.0
437,2,7.0
438,1,2.0
439,1,59.0
440,1,86.0
441,2,42.0
442,2,152.0
443,1,53.0
444,1,56.0
445,2,51.0
446,2,67.0
447,2,313.0
448,1,1872.0
449,1,68.0
450,2,40.0
451,2,1719.0
452,2,1963.0
453,1,2.0
454,2,220.0
455,2,27.0
456,2,135.0
457,2,29.0
458,2,20.0
459,2,7.0
460,1,28.0
461,2,1306.0
462,2,180.0
463,1,8.0
464,2,87.0
465,1,122.0
466,1,3.0
467,2,134.0
468,2,40.0
469,2,125.0
470,1,1115.0
471,1,22.0
472,1,21.0
473,2,84.0
474,2,5.0
475,2,1351.0
476,2,1108.0
477,2,4.0
478,1,104.0
479,1,305.0
480,1,2762.0
481,1,1097.0
482,1,92.0
483,2,78.0
484,1,261.0
485,2,174.0
486,1,39.0
487,1,501.0
488,2,2.0
489,2,152.0
490,1,22.0
491,1,524.0
492,2,11.0
493,1,38.0
494,2,100.0
495,2,6.0
496,2,390.0
497,2,262.0
498,2,526.0
499,2,4.0
500,2,6.0
501,2,93.0
502,2,30.0
503,2,4.0
504,1,43.0
505,1,58.0
506,1,181.0
507,1,1336.0
508,1,691.0
509,2,99.0
510,2,2.0
511,1,35.0
512,2,134.0
513,2,14.0
514,2,96.0
515,1,50.0
516,1,3960.0
517,1,8.0
518,2,68.0
519,1,445.0
520,1,46.0
521,1,327.0
522,2,625.0
523,2,4.0
524,2,50.0
525,2,77.0
526,1,182.0
527,2,901.0
528,2,2.0
529,1,144.0
530,2,467.0
531,1,4.0
532,1,196.0
533,2,2102.0
534,1,36.0
535,2,13.0
536,1,564.0
537,1,10089.0
538,2,1178.0
539,2,148.0
540,1,192.0
541,1,2.0
542,2,102.0
543,2,160.0
544,1,280.0
545,2,453.0
546,2,2.0
547,1,103.0
548,1,1279.0
549,2,2.0
550,2,10.0
551,2,415.0
552,1,9.0
553,1,119.0
554,1,136.0
555,2,110.0
556,1,13.0
557,2,159.0
558,1,27.0
559,2,4.0
560,1,3853.0
561,2,555.0
562,1,196.0
563,1,68.0
564,2,112.0
565,2,25.0
566,2,206.0
567,1,90.0
568,2,355.0
569,2,2.0
570,1,138.0
571,2,95.0
572,2,40.0
573,1,208.0
574,1,160.0
575,1,2.0
576,2,209.0
577,2,411.0
578,1,2.0
579,2,2.0
580,2,2.0
581,1,3.0
582,1,53.0
583,1,4.0
584,1,14.0
585,1,35.0
586,2,8.0
587,1,106.0
588,2,552.0
589,2,373.0
590,1,1431.0
591,2,4.0
592,1,225.0
593,2,3181.0
594,2,56.0
595,2,97.0
596,1,6.0
597,2,435.0
598,2,582.0
599,2,289.0
600,2,199.0
601,1,32.0
602,1,57.0
603,2,2.0
604,2,2.0
605,1,3.0
606,2,3.0
607,2,3.0
608,2,296.0
609,1,31.0
610,2,4.0
611,2,170.0
612,2,588.0
613,1,2.0
614,2,639.0
615,2,403.0
616,2,1372.0
617,2,28.0
618,2,25.0
619,1,4.0
620,2,118.0
621,2,11.0
622,1,23.0
623,1,6661.0
624,2,2.0
625,2,467.0
626,1,520.0
627,2,75.0
628,2,71.0
629,1,278.0
630,2,66.0
631,1,57.0
