,community,degree
394,5,108.0
395,6,43.0
396,3,4.0
397,7,192.0
398,4,54.0
399,9,34.0
400,3,1156.0
401,6,256.0
402,0,410.0
403,6,2.0
404,4,63.0
405,5,135.0
406,3,3.0
407,4,158.0
408,3,1195.0
409,6,197.0
410,2,903.0
411,6,34.0
412,5,1548.0
413,4,4.0
414,3,912.0
415,7,168.0
416,8,32.0
417,2,117.0
418,4,844.0
419,4,927.0
420,3,1080.0
421,0,116.0
422,0,875.0
423,4,1399.0
424,2,2.0
425,5,66.0
426,5,7.0
427,3,2.0
428,5,2024.0
429,0,362.0
430,4,123.0
431,0,41.0
432,6,62.0
433,8,6.0
434,8,25.0
435,6,26.0
436,0,210.0
437,0,7.0
438,5,2.0
439,5,59.0
440,6,86.0
441,0,42.0
442,3,152.0
443,5,53.0
444,0,56.0
445,4,51.0
446,4,67.0
447,9,313.0
448,8,1872.0
449,8,68.0
450,2,40.0
451,2,1719.0
452,7,1963.0
453,0,2.0
454,0,220.0
455,7,27.0
456,7,135.0
457,7,29.0
458,3,20.0
459,3,7.0
460,0,28.0
461,3,1306.0
462,3,180.0
463,5,8.0
464,0,87.0
465,5,122.0
466,8,3.0
467,2,134.0
468,4,40.0
469,2,125.0
470,6,1115.0
471,8,22.0
472,8,21.0
473,3,84.0
474,3,5.0
475,3,1351.0
476,7,1108.0
477,3,4.0
478,5,104.0
479,0,305.0
480,0,2762.0
481,0,1097.0
482,0,92.0
483,3,78.0
484,5,261.0
485,3,174.0
486,0,39.0
487,5,501.0
488,3,2.0
489,7,152.0
490,6,22.0
491,0,524.0
492,3,11.0
493,8,38.0
494,3,100.0
495,7,6.0
496,9,390.0
497,4,262.0
498,3,526.0
499,4,4.0
500,0,6.0
501,4,93.0
502,3,30.0
503,3,4.0
504,0,43.0
505,8,58.0
506,0,181.0
507,0,1336.0
508,0,691.0
509,0,99.0
510,5,2.0
511,5,35.0
512,4,134.0
513,3,14.0
514,0,96.0
515,5,50.0
516,5,3960.0
517,5,8.0
518,0,68.0
519,5,445.0
520,5,46.0
521,6,327.0
522,3,625.0
523,4,4.0
524,7,50.0
525,3,77.0
526,6,182.0
527,3,901.0
528,7,2.0
529,0,144.0
530,7,467.0
531,6,4.0
532,5,196.0
533,7,2102.0
534,6,36.0
535,4,13.0
536,5,564.0
537,5,10089.0
538,7,1178.0
539,4,148.0
540,0,192.0
541,5,2.0
542,3,102.0
543,3,160.0
544,6,280.0
545,3,453.0
546,7,2.0
547,6,103.0
548,5,1279.0
549,4,2.0
550,4,10.0
551,3,415.0
552,5,9.0
553,5,119.0
554,5,136.0
555,0,110.0
556,5,13.0
557,3,159.0
558,6,27.0
559,3,4.0
560,5,3853.0
561,4,555.0
562,6,196.0
563,5,68.0
564,4,112.0
565,4,25.0
566,7,206.0
567,6,90.0
568,2,355.0
569,4,2.0
570,8,138.0
571,7,95.0
572,3,40.0
573,8,208.0
574,6,160.0
575,0,2.0
576,7,209.0
577,9,411.0
578,8,2.0
579,0,2.0
580,3,2.0
581,8,3.0
582,8,53.0
583,8,4.0
584,0,14.0
585,5,35.0
586,7,8.0
587,5,106.0
588,7,552.0
589,7,373.0
590,8,1431.0
591,2,4.0
592,0,225.0
593,3,3181.0
594,4,56.0
595,3,97.0
596,5,6.0
597,7,435.0
598,0,582.0
599,7,289.0
600,4,199.0
601,8,32.0
602,6,57.0
603,2,2.0
604,0,2.0
605,6,3.0
606,7,3.0
607,7,3.0
608,7,296.0
609,6,31.0
610,4,4.0
611,0,170.0
612,9,588.0
613,0,2.0
614,0,639.0
615,0,403.0
616,7,1372.0
617,0,28.0
618,0,25.0
619,6,4.0
620,2,118.0
621,4,11.0
622,6,23.0
623,8,6661.0
624,7,2.0
625,0,467.0
626,6,520.0
627,7,75.0
628,3,71.0
629,6,278.0
630,3,66.0
631,6,57.0
632,0,184.0
633,3,630.0
634,0,111.0
635,6,89.0
636,0,94.0
637,0,21.0
638,4,1963.0
639,4,23.0
640,0,312.0
641,7,555.0
642,5,14.0
643,5,12.0
644,4,14.0
645,4,36.0
646,7,2.0
647,9,3.0
648,3,43.0
649,4,1125.0
650,3,88.0
651,9,388.0
652,3,25.0
653,3,282.0
654,3,698.0
655,3,136.0
656,3,2.0
657,3,50.0
658,3,98.0
659,9,357.0
660,3,8.0
661,4,186.0
662,3,240.0
663,4,2.0
664,4,74.0
665,5,303.0
666,1,2.0
667,7,122.0
668,7,57.0
669,2,174.0
670,7,110.0
671,2,4.0
672,2,281.0
673,7,85.0
674,7,749.0
675,7,893.0
676,7,872.0
677,4,702.0
678,4,2.0
679,2,2.0
680,3,2.0
681,7,610.0
682,2,47.0
683,4,6.0
684,2,1050.0
685,3,268.0
686,2,49.0
687,9,63.0
688,9,67.0
689,7,2.0
690,7,953.0
691,2,69.0
692,7,77.0
693,2,579.0
694,2,648.0
695,8,6.0
696,8,22.0
697,8,933.0
698,5,12736.0
699,6,60.0
700,5,470.0
701,5,6525.0
702,5,278.0
703,8,969.0
704,5,574.0
705,5,468.0
706,5,400.0
707,3,5.0
708,8,79.0
709,4,7.0
710,6,104.0
711,0,957.0
712,2,280.0
713,3,66.0
714,4,88.0
715,8,410.0
716,0,1.0
717,4,180.0
718,9,1.0
719,4,196.0
720,3,2.0
721,4,263.0
722,8,18.0
723,4,397.0
724,3,174.0
725,9,823.0
726,9,639.0
727,5,840.0
728,9,145.0
729,7,22.0
730,4,6.0
731,3,10.0
732,4,7569.0
733,0,6.0
734,4,5.0
735,6,2.0
736,3,194.0
737,4,2.0
738,7,13.0
739,5,131.0
740,5,127.0
741,5,112.0
742,5,135.0
743,3,18.0
744,2,4.0
745,3,195.0
746,2,11.0
747,8,103.0
748,8,23.0
749,3,117.0
750,2,51.0
751,3,6.0
752,7,412.0
753,7,1.0
754,9,2.0
755,0,296.0
756,7,8.0
757,4,957.0
758,5,22.0
759,3,144.0
760,3,750.0
761,7,309.0
762,4,2.0
763,7,82.0
764,7,3.0
765,7,772.0
766,9,1989.0
767,9,538.0
768,3,1.0
769,8,483.0
770,0,1.0
771,4,6.0
772,4,6.0
773,7,2034.0
774,3,5.0
775,0,2.0
776,5,528.0
777,8,127.0
778,8,318.0
779,5,520.0
780,8,84.0
781,3,2.0
782,4,326.0
783,3,82.0
784,5,547.0
785,5,15523.0
786,8,4403.0
787,5,155.0
788,5,179.0
789,5,14.0
790,5,1270.0
791,5,495.0
792,5,5.0
793,8,1966.0
794,8,18.0
795,3,1180.0
796,8,14768.0
797,0,265.0
798,4,57.0
799,4,39.0
800,8,64.0
801,3,71.0
802,2,2.0
803,4,903.0
804,3,86.0
805,7,193.0
806,3,47.0
807,7,86.0
808,7,156.0
809,8,29.0
810,4,155.0
811,8,97.0
812,5,332.0
813,4,2.0
814,4,2.0
815,0,3.0
816,8,1432.0
817,5,34.0
818,6,156.0
819,6,5.0
820,4,138.0
821,5,522.0
822,8,2078.0
823,5,1333.0
824,5,49.0
825,0,88.0
826,4,2.0
827,7,182.0
828,7,62.0
829,8,1695.0
830,1,10.0
831,4,140.0
832,3,1832.0
833,5,567.0
834,8,11.0
835,8,3625.0
836,8,9.0
837,8,25.0
838,3,43.0
839,3,18.0
840,6,29.0
841,3,183.0
842,6,964.0
843,4,324.0
844,3,689.0
845,8,25.0
846,0,516.0
847,3,4.0
848,4,89.0
849,8,39.0
850,8,95.0
851,4,99.0
852,4,61.0
853,8,4686.0
854,3,487.0
855,3,2.0
856,5,3691.0
857,4,877.0
858,6,156.0
859,0,138.0
860,5,379.0
861,5,4422.0
862,5,470.0
863,5,7.0
864,2,2.0
865,4,103.0
866,3,1.0
867,6,110.0
868,3,42.0
869,3,541.0
870,3,5.0
871,4,4.0
872,5,38.0
873,3,9.0
874,0,4.0
875,3,92.0
876,0,562.0
877,7,123.0
878,4,73.0
879,5,18.0
880,8,457.0
881,5,1495.0
882,4,66.0
883,0,34.0
884,0,205.0
885,0,638.0
886,3,3126.0
887,3,19.0
888,5,263.0
889,4,97.0
890,3,23.0
891,4,2.0
892,7,930.0
893,0,224.0
894,3,286.0
895,3,91.0
896,8,2.0
897,0,151.0
898,9,205.0
899,5,552.0
900,4,346.0
901,8,13.0
902,5,264.0
903,4,3.0
904,8,3.0
905,5,254.0
906,5,5.0
907,0,235.0
908,4,10.0
909,0,5.0
910,4,97.0
911,5,213.0
912,5,489.0
913,6,199.0
914,5,438.0
915,6,26.0
916,6,81.0
917,0,2.0
918,4,417.0
919,7,234.0
920,7,199.0
921,7,274.0
922,4,4.0
923,5,160.0
924,8,5440.0
925,5,44.0
926,3,263.0
927,8,284.0
928,5,751.0
929,5,2.0
930,3,8.0
931,8,2897.0
932,5,197.0
933,5,573.0
934,5,4711.0
935,5,3.0
936,3,137.0
937,8,39.0
938,0,51.0
939,9,81.0
940,3,21.0
941,4,604.0
942,5,556.0
943,8,485.0
944,5,494.0
945,5,315.0
946,5,382.0
947,3,4.0
948,3,5.0
949,2,39.0
