,community,degree
0,0,475.0
1,1,873.0
2,0,221.0
3,0,2.0
4,0,130.0
5,0,317.0
6,0,52.0
7,1,128.0
8,1,122.0
9,0,24.0
10,0,21.0
11,0,142.0
12,1,7.0
13,0,992.0
14,1,333.0
15,1,256.0
16,0,159.0
17,0,10.0
18,0,229.0
19,0,2511.0
20,0,324.0
21,0,248.0
22,0,93.0
23,1,24.0
24,0,597.0
25,0,35.0
26,1,57.0
27,1,103.0
28,1,5.0
29,0,94.0
30,1,99.0
31,0,265.0
32,0,1034.0
33,0,107.0
34,0,140.0
35,1,33.0
36,0,116.0
37,0,4281.0
38,1,92.0
39,1,211.0
40,0,53.0
41,0,567.0
42,0,225.0
43,0,78.0
44,0,4.0
45,1,250.0
46,0,1102.0
47,0,2.0
48,1,828.0
49,0,3.0
50,0,13.0
51,0,5.0
52,0,95.0
53,0,2.0
54,0,45.0
55,0,252.0
56,0,221.0
57,0,1583.0
58,1,137.0
59,0,418.0
60,0,189.0
61,1,46.0
62,1,119.0
63,1,25.0
64,0,29.0
65,0,122.0
66,1,1723.0
67,1,123.0
68,0,132.0
69,1,4.0
70,0,120.0
71,0,63.0
72,0,2255.0
73,0,38.0
74,0,382.0
75,0,28.0
76,1,6.0
77,0,58.0
78,1,176.0
79,0,2.0
80,0,99.0
81,1,37.0
82,0,2.0
83,0,900.0
84,1,1601.0
85,0,2.0
86,1,34.0
87,1,237.0
88,0,69.0
89,1,103.0
90,0,225.0
91,0,270.0
92,0,67.0
93,0,93.0
94,0,204.0
95,0,37.0
96,1,104.0
97,0,62.0
98,1,156.0
99,1,51.0
100,1,344.0
101,1,29.0
102,0,51.0
103,0,184.0
104,1,1116.0
105,0,8.0
106,0,5.0
107,0,2.0
108,0,7.0
109,0,2445.0
110,0,113.0
111,0,205.0
112,1,1345.0
113,1,4.0
114,1,3.0
115,0,29.0
116,0,3.0
117,1,224.0
118,0,620.0
119,0,699.0
120,1,36.0
121,1,2.0
122,1,31.0
123,1,2.0
124,0,560.0
125,0,210.0
126,1,27.0
127,0,74.0
128,1,40.0
129,0,151.0
130,1,254.0
131,0,2.0
132,0,6.0
133,0,4.0
134,0,750.0
135,0,2.0
136,0,2429.0
137,0,180.0
138,0,1227.0
139,0,81.0
140,0,7.0
141,0,21.0
142,1,499.0
143,0,5.0
144,1,8.0
145,1,70.0
146,1,95.0
147,1,4.0
148,0,1516.0
149,0,154.0
150,1,393.0
151,0,116.0
152,1,2582.0
153,1,192.0
154,1,1021.0
155,1,31.0
156,0,4.0
157,1,13.0
158,0,204.0
159,0,48.0
160,1,3392.0
161,1,10.0
162,0,198.0
163,0,484.0
164,0,175.0
165,0,521.0
166,0,186.0
167,0,4.0
168,0,539.0
169,0,31.0
170,0,42.0
171,1,868.0
172,1,187.0
173,1,6.0
174,0,523.0
175,1,2211.0
176,0,644.0
177,1,509.0
178,1,102.0
179,1,387.0
180,1,49.0
181,1,674.0
182,0,2.0
183,0,146.0
184,0,8.0
185,0,916.0
186,1,17.0
187,0,2.0
188,1,25.0
189,0,34.0
190,0,465.0
191,1,61.0
192,0,312.0
193,0,97.0
194,1,46.0
195,0,1033.0
196,1,1.0
197,0,504.0
198,0,834.0
199,0,35.0
200,0,43.0
201,0,12.0
202,0,167.0
203,0,4.0
204,0,39.0
205,0,5.0
206,0,9.0
207,1,3.0
208,0,254.0
209,0,20.0
210,0,14.0
211,0,64.0
212,0,72.0
213,1,20.0
214,0,27.0
215,1,22.0
216,0,2.0
217,0,3.0
218,1,60.0
219,1,2.0
220,0,1164.0
221,0,4.0
222,0,76.0
223,0,46.0
224,0,154.0
225,0,6.0
226,0,10.0
227,0,194.0
228,0,4.0
229,0,168.0
230,0,1032.0
231,0,116.0
232,0,159.0
233,1,575.0
234,1,30.0
235,1,163.0
236,1,52.0
237,0,80.0
238,1,244.0
239,1,1064.0
240,0,13.0
241,0,2.0
242,1,180.0
243,0,13.0
244,0,176.0
245,0,530.0
246,0,1070.0
247,0,1020.0
248,1,423.0
249,0,1918.0
250,0,17.0
251,0,312.0
252,0,85.0
253,0,136.0
254,0,164.0
255,0,1163.0
256,1,37.0
257,0,2.0
258,0,36.0
259,1,24.0
260,0,504.0
261,1,174.0
262,0,344.0
263,0,289.0
264,1,277.0
265,0,360.0
266,1,112.0
267,1,6.0
268,1,686.0
269,0,1143.0
270,0,34.0
271,0,58.0
272,1,4.0
273,1,559.0
274,1,161.0
275,1,3500.0
276,0,1194.0
277,1,365.0
278,1,19.0
279,1,1359.0
280,1,36.0
281,0,70.0
282,1,75.0
283,0,687.0
284,0,186.0
285,1,34.0
286,0,3860.0
287,0,2.0
288,0,2.0
289,1,588.0
290,1,28.0
291,0,4.0
292,0,121.0
293,0,535.0
294,0,630.0
295,1,2.0
296,1,6.0
297,1,598.0
298,1,99.0
299,1,93.0
300,1,83.0
301,1,10879.0
302,1,139.0
303,1,383.0
304,0,32.0
305,1,10.0
306,0,910.0
307,0,97.0
308,1,38.0
309,0,68.0
310,0,227.0
311,1,136.0
312,0,61.0
313,0,722.0
314,1,897.0
315,1,6.0
316,0,2.0
317,0,253.0
318,0,47.0
319,1,103.0
320,0,546.0
321,0,2354.0
322,0,1050.0
323,0,11.0
324,1,249.0
325,0,19.0
326,0,692.0
327,1,154.0
328,0,393.0
329,1,2528.0
330,0,2.0
331,1,87.0
332,1,791.0
333,0,1645.0
334,1,509.0
335,1,707.0
336,0,555.0
337,1,88.0
338,0,89.0
339,0,41.0
340,1,31.0
341,1,78.0
342,1,597.0
343,1,191.0
344,1,2.0
345,1,297.0
346,1,7756.0
347,0,10.0
348,1,416.0
349,0,4.0
350,1,61.0
351,0,2.0
352,1,36.0
353,0,2.0
354,1,181.0
355,1,2.0
356,0,142.0
357,1,58.0
358,1,18.0
359,0,117.0
360,1,16.0
361,0,9.0
362,1,32.0
363,1,8.0
364,1,67.0
365,0,4.0
366,0,1110.0
367,0,418.0
368,0,102.0
369,1,4.0
370,1,4.0
371,0,832.0
372,1,4053.0
373,0,251.0
374,1,345.0
375,1,26.0
376,0,63.0
377,0,2.0
378,1,161.0
379,0,494.0
380,1,97.0
381,1,4.0
382,1,7.0
383,0,487.0
384,0,18.0
385,1,252.0
386,0,250.0
387,0,24.0
388,1,175.0
389,1,122.0
390,1,1.0
391,1,2.0
392,1,49.0
393,1,5.0
394,1,108.0
395,1,43.0
396,0,4.0
397,0,192.0
398,0,54.0
399,0,34.0
400,0,1156.0
401,1,256.0
402,0,410.0
403,1,2.0
404,0,63.0
405,1,135.0
406,0,3.0
407,0,158.0
408,0,1195.0
409,1,197.0
410,0,903.0
411,1,34.0
412,1,1548.0
413,0,4.0
414,0,912.0
415,0,168.0
416,1,32.0
417,0,117.0
418,0,844.0
419,0,927.0
420,0,1080.0
421,0,116.0
422,0,875.0
423,0,1399.0
424,0,2.0
425,1,66.0
426,1,7.0
427,0,2.0
428,1,2024.0
429,0,362.0
430,0,123.0
431,0,41.0
432,1,62.0
433,1,6.0
434,1,25.0
435,1,26.0
436,1,210.0
437,1,7.0
438,1,2.0
439,1,59.0
440,1,86.0
441,0,42.0
442,0,152.0
443,1,53.0
444,1,56.0
445,0,51.0
446,0,67.0
447,0,313.0
448,1,1872.0
449,1,68.0
450,0,40.0
451,0,1719.0
452,0,1963.0
453,1,2.0
454,1,220.0
455,0,27.0
456,0,135.0
457,0,29.0
458,0,20.0
459,0,7.0
460,1,28.0
461,0,1306.0
462,0,180.0
463,1,8.0
464,0,87.0
465,1,122.0
466,1,3.0
467,0,134.0
468,0,40.0
469,0,125.0
470,1,1115.0
471,1,22.0
472,1,21.0
473,0,84.0
474,0,5.0
475,0,1351.0
476,0,1108.0
477,0,4.0
478,1,104.0
479,1,305.0
480,1,2762.0
481,1,1097.0
482,1,92.0
483,0,78.0
484,1,261.0
485,0,174.0
486,0,39.0
487,1,501.0
488,0,2.0
489,0,152.0
490,1,22.0
491,1,524.0
492,0,11.0
493,1,38.0
494,0,100.0
495,0,6.0
496,0,390.0
497,0,262.0
498,0,526.0
499,0,4.0
500,1,6.0
501,0,93.0
502,0,30.0
503,0,4.0
504,1,43.0
505,1,58.0
506,1,181.0
507,1,1336.0
508,1,691.0
509,1,99.0
510,0,2.0
511,1,35.0
512,0,134.0
513,0,14.0
514,1,96.0
515,1,50.0
516,1,3960.0
517,1,8.0
518,0,68.0
519,1,445.0
520,1,46.0
521,1,327.0
522,0,625.0
523,0,4.0
524,0,50.0
525,0,77.0
526,1,182.0
527,0,901.0
528,0,2.0
529,1,144.0
530,0,467.0
531,1,4.0
532,1,196.0
533,0,2102.0
534,1,36.0
535,0,13.0
536,1,564.0
537,1,10089.0
538,0,1178.0
539,0,148.0
540,0,192.0
541,1,2.0
542,0,102.0
543,0,160.0
544,1,280.0
545,0,453.0
546,0,2.0
547,1,103.0
548,1,1279.0
549,0,2.0
550,0,10.0
551,0,415.0
552,1,9.0
553,1,119.0
554,1,136.0
555,0,110.0
556,1,13.0
557,0,159.0
558,1,27.0
559,0,4.0
560,1,3853.0
561,0,555.0
562,1,196.0
563,1,68.0
564,0,112.0
565,0,25.0
566,0,206.0
567,1,90.0
568,0,355.0
569,0,2.0
570,1,138.0
571,0,95.0
572,0,40.0
573,1,208.0
574,1,160.0
575,1,2.0
576,0,209.0
577,0,411.0
578,1,2.0
579,0,2.0
580,0,2.0
581,1,3.0
582,1,53.0
583,1,4.0
584,1,14.0
585,1,35.0
586,0,8.0
587,1,106.0
588,0,552.0
589,0,373.0
590,1,1431.0
591,0,4.0
592,1,225.0
593,0,3181.0
594,0,56.0
595,0,97.0
596,1,6.0
597,0,435.0
598,0,582.0
599,0,289.0
600,0,199.0
601,1,32.0
602,1,57.0
603,0,2.0
604,0,2.0
605,1,3.0
606,0,3.0
607,0,3.0
608,0,296.0
609,1,31.0
610,0,4.0
611,0,170.0
