,community,degree
0,0,475.0
1,0,873.0
2,3,221.0
3,2,2.0
4,0,130.0
5,2,317.0
6,2,52.0
7,0,128.0
8,4,122.0
9,2,24.0
10,0,21.0
11,0,142.0
12,0,7.0
13,2,992.0
14,0,333.0
15,0,256.0
16,2,159.0
17,0,10.0
18,2,229.0
19,2,2511.0
20,2,324.0
21,2,248.0
22,2,93.0
23,0,24.0
24,3,597.0
25,2,35.0
26,0,57.0
27,0,103.0
28,0,5.0
29,2,94.0
30,4,99.0
31,2,265.0
32,3,1034.0
33,2,107.0
34,2,140.0
35,0,33.0
36,3,116.0
37,2,4281.0
38,0,92.0
39,4,211.0
40,2,53.0
41,2,567.0
42,2,225.0
43,2,78.0
44,0,4.0
45,0,250.0
46,2,1102.0
47,2,2.0
48,0,828.0
49,2,3.0
50,2,13.0
51,2,5.0
52,2,95.0
53,3,2.0
54,3,45.0
55,3,252.0
56,3,221.0
57,3,1583.0
58,0,137.0
59,3,418.0
60,2,189.0
61,0,46.0
62,0,119.0
63,0,25.0
64,2,29.0
65,2,122.0
66,4,1723.0
67,0,123.0
68,2,132.0
69,0,4.0
70,2,120.0
71,2,63.0
72,2,2255.0
73,2,38.0
74,3,382.0
75,3,28.0
76,4,6.0
77,0,58.0
78,4,176.0
79,3,2.0
80,2,99.0
81,0,37.0
82,2,2.0
83,2,900.0
84,4,1601.0
85,3,2.0
86,4,34.0
87,0,237.0
88,2,69.0
89,0,103.0
90,3,225.0
91,2,270.0
92,3,67.0
93,0,93.0
94,2,204.0
95,3,37.0
96,0,104.0
97,2,62.0
98,0,156.0
99,0,51.0
100,4,344.0
101,0,29.0
102,2,51.0
103,3,184.0
104,0,1116.0
105,2,8.0
106,2,5.0
107,3,2.0
108,2,7.0
109,2,2445.0
110,2,113.0
111,3,205.0
112,0,1345.0
113,0,4.0
114,0,3.0
115,2,29.0
116,0,3.0
117,4,224.0
118,3,620.0
119,3,699.0
120,0,36.0
121,4,2.0
122,4,31.0
123,0,2.0
124,2,560.0
125,2,210.0
126,0,27.0
127,2,74.0
128,4,40.0
129,2,151.0
130,0,254.0
131,3,2.0
132,3,6.0
133,3,4.0
134,0,750.0
135,2,2.0
136,3,2429.0
137,2,180.0
138,2,1227.0
139,3,81.0
140,2,7.0
141,3,21.0
142,4,499.0
143,3,5.0
144,0,8.0
145,4,70.0
146,4,95.0
147,4,4.0
148,3,1516.0
149,3,154.0
150,0,393.0
151,3,116.0
152,4,2582.0
153,4,192.0
154,0,1021.0
155,4,31.0
156,3,4.0
157,1,13.0
158,2,204.0
159,3,48.0
160,0,3392.0
161,4,10.0
162,2,198.0
163,2,484.0
164,3,175.0
165,2,521.0
166,3,186.0
167,3,4.0
168,0,539.0
169,2,31.0
170,2,42.0
171,4,868.0
172,4,187.0
173,0,6.0
174,2,523.0
175,4,2211.0
176,2,644.0
177,0,509.0
178,4,102.0
179,0,387.0
180,0,49.0
181,4,674.0
182,2,2.0
183,3,146.0
184,2,8.0
185,2,916.0
186,0,17.0
187,2,2.0
188,0,25.0
189,2,34.0
190,0,465.0
191,0,61.0
192,0,312.0
193,2,97.0
194,0,46.0
195,2,1033.0
196,0,1.0
197,2,504.0
198,0,834.0
199,2,35.0
200,0,43.0
201,2,12.0
202,2,167.0
203,2,4.0
204,0,39.0
205,2,5.0
206,2,9.0
207,0,3.0
208,3,254.0
209,2,20.0
210,2,14.0
211,2,64.0
212,3,72.0
213,0,20.0
214,2,27.0
215,4,22.0
216,2,2.0
217,2,3.0
218,4,60.0
219,4,2.0
220,2,1164.0
221,2,4.0
222,2,76.0
223,2,46.0
224,3,154.0
225,2,6.0
226,2,10.0
227,2,194.0
228,2,4.0
229,2,168.0
230,3,1032.0
231,3,116.0
232,2,159.0
233,0,575.0
234,0,30.0
235,4,163.0
236,4,52.0
237,2,80.0
238,4,244.0
239,4,1064.0
240,2,13.0
241,3,2.0
242,4,180.0
243,2,13.0
244,2,176.0
245,2,530.0
246,2,1070.0
247,2,1020.0
248,4,423.0
249,2,1918.0
250,3,17.0
251,3,312.0
252,2,85.0
253,2,136.0
254,2,164.0
255,2,1163.0
256,0,37.0
257,3,2.0
258,2,36.0
259,0,24.0
260,2,504.0
261,4,174.0
262,2,344.0
263,2,289.0
264,0,277.0
265,3,360.0
266,4,112.0
267,4,6.0
268,4,686.0
269,3,1143.0
270,3,34.0
271,3,58.0
272,0,4.0
273,4,559.0
274,4,161.0
275,4,3500.0
276,2,1194.0
277,4,365.0
278,4,19.0
279,4,1359.0
280,4,36.0
281,2,70.0
282,0,75.0
283,3,687.0
284,2,186.0
285,4,34.0
286,2,3860.0
287,2,2.0
288,3,2.0
289,4,588.0
290,4,28.0
291,2,4.0
292,2,121.0
293,2,535.0
294,2,630.0
295,4,2.0
296,4,6.0
297,4,598.0
298,4,99.0
299,4,93.0
300,0,83.0
301,4,10879.0
302,0,139.0
303,4,383.0
304,2,32.0
305,4,10.0
306,3,910.0
307,2,97.0
308,4,38.0
309,2,68.0
310,2,227.0
311,4,136.0
312,3,61.0
313,2,722.0
314,4,897.0
315,4,6.0
316,2,2.0
317,3,253.0
318,2,47.0
319,4,103.0
320,2,546.0
321,2,2354.0
322,3,1050.0
323,3,11.0
324,4,249.0
325,2,19.0
326,2,692.0
327,0,154.0
328,3,393.0
329,0,2528.0
330,2,2.0
331,0,87.0
332,4,791.0
333,0,1645.0
334,4,509.0
335,0,707.0
336,2,555.0
337,0,88.0
338,2,89.0
339,2,41.0
340,4,31.0
341,0,78.0
342,4,597.0
343,4,191.0
344,0,2.0
345,0,297.0
346,4,7756.0
347,2,10.0
348,0,416.0
349,2,4.0
350,4,61.0
351,2,2.0
