,port_country,x,y
0,Abbot Point_Australia,148.07756959259032,-19.893776402114334
1,Abenra_Denmark,9.428190685624827,55.04248019430548
2,Aberdeen_U.S.A.,-123.84774329882298,46.966177639436204
3,Aberdeen_United Kingdom,-2.075624103763057,57.139595144564296
4,Abidjan_Cote d'Ivoire,-4.010668932441103,5.284627760305776
5,Abu Zaby_United Arab Emirates,54.53888689838504,24.566274589173712
6,Acajutla_El Salvador,-89.82976276105175,13.575488458376979
7,Acapulco_Mexico,-99.87446323929898,16.84318539192628
8,Ad Dakhla_Western Sahara,-15.95295711609958,23.66837455554214
9,Aden_Yemen,44.950693522502455,12.779988901531674
10,Agadir_Morocco,-9.649402377955152,30.438756772638612
11,Ahus_Sweden,14.317700411615714,55.92867893468289
12,Aiyion_Greece,21.849977912712973,38.33557950042553
13,Ajman_United Arab Emirates,55.4536624518669,25.419736307946245
14,Akita-Funakawa Ko_Japan,140.05677693565994,39.75654528819128
15,Ako_Japan,134.361288303224,34.74720083372115
16,Aktau Port_Kazakhstan,51.22874032523331,43.602350763034934
17,Akureyri_Iceland,-18.096790555064526,65.695326716713
18,Al Ahmadi_Yemen,42.943520831351364,14.8330220557409
19,Al Aqabah_Jordan,34.958186829019674,29.45810715915896
20,Al Basrah_Iraq,47.79783766773694,30.558027253323647
21,Al Burayqah_Libya,19.598009309785763,30.406994290764256
22,Al Hamriyah LPG Terminal_United Arab Emirates,55.49514728902563,25.467513879343024
23,Al Iskandariyh (Alexandria)_Egypt,29.836109886669465,31.154797858326177
24,Al Jubayl_Saudi Arabia,49.66024705119559,27.05413038377179
25,Al Kuwayt_Kuwait,47.92354154483458,29.35204624401216
26,Al Ladhiqiyah_Syria,35.770202411355584,35.523566329734955
27,Al Mukalla_Yemen,49.15123298005337,14.52061486138097
28,Albany_Australia,117.89708228026268,-35.033858922601944
29,Alborg_Denmark,9.992814114098813,57.05437155483703
30,Alesund_Norway,6.155481150473647,62.47283448686727
31,Algeciras_Spain,-5.414273515123624,36.163818814196276
32,Alger_Algeria,3.0667621846073008,36.76708802031324
33,Aliaga_Turkey,26.934564624511953,38.803813147647546
34,Alicante_Spain,-0.4908897395485404,38.332391372565134
35,Almeria_Spain,-2.4738657522246505,36.83346874718268
36,Alofi_Niue,-169.92001368487507,-19.052671315120005
37,Alotoa_Papua New Guinea,150.4560203489755,-10.315651289971518
38,Altamira_Mexico,-97.88520848318493,22.48467721296676
39,Alvika_Norway,6.370648385341695,62.47920017152351
40,Amagasaki_Japan,135.36788101266254,34.700649555881874
41,Amamapare_Indonesia,136.79939618333154,-4.804207263047351
42,Ambon_Indonesia,128.17525331826528,-3.6772845591486285
43,Amirabad Port_Iran,53.365167798786224,36.85070336747731
44,Ampenan_Indonesia,116.07317442859139,-8.655149913437683
45,Amsterdam_Netherlands,4.830435737463371,52.409198345614556
46,Amuay (Bahia De Amuay)_Venezuela,-70.2068953580866,11.743811703518485
47,Anacortes_Canada,-122.5748056522262,48.49192134394034
48,Anchorage_U.S.A.,-149.87222590496796,61.23396650268251
49,Ancona_Italy,13.50195410181121,43.621695799237244
50,Andoany_Madagascar,48.21470271745805,-13.402617259596603
51,Andres (Andres LGN Terminal)_Dominican Republic,-69.63329166962036,18.418697907066154
52,Anguilla_Anguilla,-63.09072394474827,18.19752155226491
53,Annaba_Algeria,7.767614171853426,36.89618931501521
54,Antalya_Turkey,30.60612268706235,36.838939327047356
55,Antisranana_Madagascar,49.28869185138956,-12.269056767555826
56,Antofagasta_Chile,-70.40483061344618,-23.650953983472835
57,Antwerp_Belgium,4.321052131810069,51.2794287338639
58,Anzali Port_Iran,49.469992279062836,37.47499218866157
59,Aomori Ko_Japan,140.76816678612795,40.84487687861087
60,Apia_Samoa,-171.76023607994824,-13.82606304322987
61,Apra Harbor_Guam,144.67530425270027,13.46021413806513
62,Aratu_Brazil,-38.487590589494424,-12.783016591240518
63,Arawak_Barbados,-59.648243382724395,13.286759622300854
64,Ardalstangen_Norway,7.709745555745709,61.23556003388835
65,Ardel_Norway,6.170683770690404,59.14645697431639
66,Argentia_Canada,-53.92033812576746,47.348630408125764
67,Arhus_Denmark,10.229478477421042,56.15134197164457
68,Arkhangels'k_Russia,40.63875496922567,64.5430408673524
69,Arrecife_Spain,-13.528005888562335,28.96931425820793
70,Arzew El Djedid_Algeria,-0.25967501160152456,35.81896184890019
71,As Suways_Egypt,32.53170991031803,29.95020646747811
72,Ash Shariqah_United Arab Emirates,55.376295522019404,25.362962888249385
73,Ashdod_Israel,34.66966890903872,31.836277373951294
74,Ashqelon_Israel,34.53898353027515,31.640610020129785
75,Aspropirgos_Greece,23.598177209965396,38.023698145965305
76,Astrakhan Port_Russia,48.02122544459782,46.38468096984768
77,Atapupu_Indonesia,124.86265279077273,-8.995667408703843
78,Atuona_French Polynesia,-139.03082666407877,-9.805382251553075
79,Auckland_New Zealand,174.77334275544916,-36.842812178117654
80,Augusta_Italy,15.18508014794339,37.1951553818766
81,Avatiu_Cook Islands,-159.7842730993885,-21.20384036785933
82,Aveiro_Portugal,-8.719662651065622,40.628558816401224
83,Aviles_Spain,-5.890529429722868,43.56340172410901
84,Avonmouth_United Kingdom,-2.707989148813597,51.498460962547576
85,Az Zawiya_Libya,12.700303247100697,32.78548002657102
86,Bahai De La Habana_Cuba,-82.33375832247619,23.127613710092202
87,Bahia De Las Minas_Panama,-79.82035261386626,9.38973052376221
88,Bahia De Matarani_Peru,-72.1076044352852,-17.00454039307697
89,Bahia De Valparaiso_Chile,-71.62765952011543,-33.033236133042806
